news source,date,grand.total,total.biodiversity,percent.total.biodiversity,conservation,ecosystem,environment,fence,roam,keystone,iconic,species,total.aesthetics,percent.total.aesthetics,first nations,indigenous,aboriginal,mythic,aesthetic,buffalo treaty,ceremonies,cultural,spritiual,just.checking,url
canada,7.2.2017,20,13,0.65,1,0,2,0,2,3,1,4,7,0.350,3,1,0,0,0,1,1,1,0,1.00,http://nationalpost.com/news/canada/after-more-than-140-years-magnificent-wild-bison-are-back-roaming-banff-national-park
canada,13.2.2017,11,8,0.73,2,3,1,0,0,1,0,1,3,0.273,0,1,1,0,0,0,0,0,1,1.00,https://www.theguardian.com/world/2017/feb/13/canada-reintroduces-bison-banff-national-park
canada,1.3.2017,23,13,0.57,2,0,1,2,1,0,1,6,10,0.435,1,5,0,2,0,1,0,1,0,1.00,https://www.theglobeandmail.com/news/national/conservationists-work-to-reinvigorate-wild-bison-population-incanada/article34181358/
canada,6.2.2017,16,16,1.00,7,1,0,0,3,0,0,5,0,0.000,0,0,0,0,0,0,0,0,0,1.00,http://www.cbc.ca/news/canada/calgary/bison-buffalo-banff-national-park-1.3969106
us,7.2.2017,14,9,0.64,2,2,0,0,1,1,0,3,5,0.357,0,1,0,0,0,0,0,3,1,1.00,https://www.npr.org/sections/thetwo-way/2017/02/07/513935921/after-more-than-a-century-bison-return-to-canadas-oldest-national-park
canada,6.2.2017,13,10,0.77,3,2,1,0,0,1,2,1,3,0.231,0,1,1,0,0,0,0,0,1,1.00,https://ca.reuters.com/article/domesticNews/idCAKBN15L285
uk,6.2.2017,10,6,0.60,0,2,1,0,0,0,1,2,4,0.400,0,1,2,0,0,0,0,0,1,1.00,http://www.bbc.com/news/world-us-canada-38888269
us,9.2.2017,12,12,1.00,3,0,1,0,4,1,1,2,0,0.000,0,0,0,0,0,0,0,0,0,1.00,https://www.livescience.com/57812-bison-reintroduced-into-wild-in-canada.html
canada,7.2.2017,34,31,0.91,2,4,1,1,4,8,1,10,3,0.088,2,0,0,0,0,0,0,1,0,1.00,http://calgaryherald.com/news/local-news/bringing-bison-back-to-banff-will-have-immediate-effect-on-birds-bugs-expert
canada,5.6.2017,3,2,0.67,0,1,0,0,1,0,0,0,1,0.333,0,0,0,0,0,0,0,1,0,1.00,http://www.pc.gc.ca/en/pn-np/ab/banff/info/gestion-management/bison
us,7.3.2017,16,13,0.81,0,3,2,0,2,0,0,6,3,0.188,2,0,0,0,0,0,1,0,0,1.00,http://wildlife.org/bison-reintroduced-to-canadas-oldest-national-park/
canada,10.8.2017,16,14,0.88,3,3,2,0,4,0,0,2,2,0.125,1,0,0,0,0,0,0,1,0,1.00,https://naturecanada.ca/news/blog/the-bison-are-back-in-banff/
canada,15.6.2017,6,6,1.00,2,1,1,0,0,0,0,2,0,0.000,0,0,0,0,0,0,0,0,0,1.00,http://www.thecragandcanyon.ca/2017/06/15/all-10-bison-calves-born-in-banff-backcountry-since-reintroduction
canada,25.4.2107,3,3,1.00,1,0,0,0,0,0,2,0,0,0.000,0,0,0,0,0,0,0,0,0,1.00,https://www.theweathernetwork.com/news/articles/wild-bison-born-in-national-park-for-first-time-in-140-years/81686
canada,25.4.2017,6,6,1.00,1,1,1,1,1,1,0,0,0,0.000,0,0,0,0,0,0,0,0,0,1.00,https://www.thestar.com/news/canada/2017/04/25/first-bison-calves-born-in-banff-national-park-in-140-years.html
canada,7.6.2017,3,3,1.00,1,0,0,0,2,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,1.00,http://www.cbc.ca/news/canada/calgary/bison-herd-calves-growing-banff-park-elk-island-paddock-1.4149727
us,19.3.2017,33,17,0.52,3,7,1,0,0,1,0,5,16,0.485,5,4,0,0,0,2,2,1,2,1.00,https://www.sierraclub.org/sierra/green-life/bison-return-banff-national-park-for-first-time-140-years
canada,6.3.2017,26,10,0.38,3,1,1,1,1,1,0,2,16,0.615,1,2,1,0,0,6,0,6,0,1.00,https://www.uleth.ca/unews/article/little-bear-plays-role-bringing-bison-back-banff#.WhB-6mKPJdc
canada,23.4.2017,1,1,1.00,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,1.00,https://questu.ca/caroline-hedin-bison-officially-returned-banff-national-park/
canada,16.2.2017,6,4,0.67,1,0,0,0,0,1,0,2,2,0.333,0,1,0,0,0,0,0,1,0,1.00,http://www.producer.com/2017/02/bisons-return-to-national-park-rights-a-wrong/
canada,25.4.2017,2,2,1.00,1,0,0,0,1,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,1.00,http://www.metronews.ca/news/calgary/2017/04/25/three-healthy-bison-born-in-banff-national-park.html
canada,22.9.2017,22,12,0.55,7,0,1,0,1,0,0,3,10,0.455,5,0,0,0,0,5,0,0,0,1.00,http://cpaws-sask.org/news/whats-needed-next-for-canadas-bison
canada,6.3.2015,7,6,0.86,4,1,1,0,0,0,0,0,1,0.143,1,0,0,0,0,0,0,0,0,1.00,http://cpaws.org/news/conservations-groups-celebrate-return-of-wild-bison-to-banff-national-park
us,20.3.2017,30,16,0.53,3,6,1,0,0,1,0,5,14,0.467,5,3,0,0,0,2,2,0,2,1.00,https://www.ecowatch.com/bison-reintroduction-banff-canada-2321760026.html
us,9.2.2017,40,24,0.60,2,3,3,1,2,4,1,8,16,0.400,2,6,0,0,0,3,2,3,0,1.00,http://www.rmoutlook.com/article/After-over-a-century-absence-plains-bison-return-to-Banff-National-Park-20170209
canada,7.2.2017,12,8,0.67,2,2,0,0,2,0,1,1,4,0.333,1,2,0,0,0,0,0,0,1,1.00,https://www.theweathernetwork.com/news/articles/after-more-than-100-years-bison-roam-once-more-in-banff/79108
us,14.2.2017,12,11,0.92,2,2,1,0,1,1,2,2,1,0.083,0,1,0,0,0,0,0,0,0,1.00,http://www.travelandleisure.com/animals/bison-banff-national-park
canada,26.4.2017,4,4,1.00,1,0,0,0,2,0,1,0,0,0.000,0,0,0,0,0,0,0,0,0,1.00,http://www.rcinet.ca/en/2017/04/26/baby-steps-for-wild-bison-at-banff-national-park/
us,7.2.2017,12,10,0.83,1,2,1,0,1,1,1,3,2,0.167,1,0,0,0,0,1,0,0,0,1.00,https://motherboard.vice.com/en_us/article/mg585q/canada-is-airdropping-pregnant-bison-into-banff-national-park
us,2.3.2017,7,5,0.71,1,0,0,2,1,0,0,1,2,0.286,0,1,0,0,0,1,0,0,0,1.00,https://mountainwestnews.org/bison-back-in-banff-9c1d082d55e4